Product URL,Accessory description,Accessory type 1,Actuator type,Application,Bluetooth network,Body material,Color,Color scale,Connectivity mode,Contact action,Cura,Degree of Protection,Ethernet network,Evaporation,Family,Frequency,Function,Input voltage,Memory type,Model,Module type,Nominal section of borne cable,Number of points,Number of poles,Optional,PACKAGING,PAINT COLOR,PAINT COMMERCIAL COLOR,PAINT COMPONENT,PAINT FINISH,PAINT FUNCTION,PAINT PRODUCTS LINE,PAINT VERSION,Payloads,Product family,RESIN SYSTEM,Rated Power,Real time clock (RTC),SOLIDS VOLUME,Shine,Size,Smart code,Standard,Storage capacity,Subscription time,Supplement for accessories for terminal block line,Supply voltage,Synchronous speed,Terminal line reference,Thermal Class,Type,Voltage,Wi-Fi network
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-20/p/15588773,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-20/p/17286684,,,,,,,,0,,,,,,,,,,,,,,,,,,Rectangular Can,Varnish,,,Smooth,Varnish,Acrylic,,,,Acrylic,,,36 ± 2% (ISO 3233 - 1998),Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-20/p/17286769,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-20/p/17286770,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-20/p/17328625,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/13722699,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Varnish,,,Smooth,Varnish,Acrylic,,,,Acrylic,,,42 ± 2% (ISO 3233 - 1998),Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/13883862,,,,,,,,0,,,,,,,,,,,,,,,,,,Rectangular Can,Varnish,,,Smooth,Varnish,Automotive Refinishing,,,,Acrylic,,,42 ± 2% (ISO 3233 - 1998),Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/14381276,,,,,,,,W,,,,,,,,,,,,,,,,,,Rectangular Can,Varnish,,,,Varnish,Acrylic,,,,Acrylic,,,42 ± 2% (ISO 3233 - 1998),Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581123,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581124,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
