Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,COR TINTA,Preto
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,Escala de cor,70.791
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989387,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,COR TINTA,Azul
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,COR COMERCIAL TINTA,Azul
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,Escala de cor,RAL 5010
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989560,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,COR TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,COR COMERCIAL TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,Escala de cor,11.371
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,FUNCAO TINTA,Acabamento
