Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3013/p/11877718,,,,,,,,,,Lata Retangular,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3013/p/15133610,,,,,,,,,,Lata Redonda,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-ETIL-SILICATO-9001/p/10001902,,,,,,,,,,Lata Retangular,,,,,Etil Silicato,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-ETIL-SILICATO-9001/p/11505713,,,,,,,,,,Lata Quadrada,,,,,Etil Silicato,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-ETIL-SILICATO-9002/p/11020542,,,,,,,,,,Lata Retangular,,,,,Etil Silicato,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-ETIL-SILICATO-9002/p/13707537,,,,,,,,,,Lata Quadrada,,,,,Etil Silicato,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5001/p/10002013,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5001/p/10002014,,,,,,,,,,Lata Redonda,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5001/p/10002015,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5001/p/10204728,,,,,,,,,,Tambor,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5003/p/10002017,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5003/p/10002018,,,,,,,,,,Lata Redonda,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5003/p/10002019,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5003/p/10002020,,,,,,,,,,Tambor,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5004/p/10002023,,,,,,,,,,Lata Redonda,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5004/p/10002024,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5004/p/10987093,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
